# family=structured seed=2
# opt_upper_bound=10
100 2017
26 21
13 88
70 64
98 46
16 93
89 77
63 25
91 7
47 80
40 41
34 3
39 81
72 29
85 48
64 25
2 50
46 13
97 58
36 48
82 15
79 46
71 42
9 67
28 80
66 48
15 2
67 49
65 88
82 28
29 22
48 35
60 9
52 5
42 77
81 68
93 42
39 71
44 37
14 14
66 61
24 64
35 73
28 34
7 11
47 47
99 94
46 88
71 32
17 61
77 75
29 35
80 80
52 18
93 19
30 79
10 21
62 68
8 97
0 93
57 74
36 51
28 47
29 12
48 25
61 80
11 79
12 44
39 61
97 2
35 27
14 4
66 51
12 80
72 94
65 55
16 50
17 15
35 63
76 64
9 11
88 75
48 2
6 5
57 87
58 52
49 83
50 48
68 96
21 21
80 70
73 31
44 4
42 80
8 87
54 54
52 93
86 6
4 53
23 66
51 48
97 15
16 27
55 18
87 87
88 52
92 22
38 51
17 28
3 93
80 47
79 88
58 65
42 57
73 44
74 9
60 74
30 82
31 47
91 98
51 25
83 94
65 45
57 41
88 65
34 94
26 53
77 55
15 80
61 47
27 54
39 28
63 93
51 2
84 72
37 76
38 41
56 89
65 58
97 90
77 32
98 91
50 51
63 70
42 47
48 90
60 64
52 60
31 37
83 84
43 11
84 49
1 14
64 70
37 53
10 99
56 66
76 44
68 40
67 81
59 77
92 25
58 32
36 93
81 15
19 40
20 5
71 87
82 96
12 37
25 56
52 73
53 38
72 51
24 11
64 47
56 43
57 8
2 72
68 17
14 46
88 32
66 93
45 70
92 2
38 31
58 9
77 22
69 18
14 82
15 47
47 79
8 8
18 52
19 17
59 90
79 68
71 64
90 77
91 42
48 80
41 41
87 8
6 83
11 49
23 23
64 24
84 39
21 99
34 38
74 74
44 82
64 60
38 8
51 90
56 56
57 21
3 50
97 57
68 30
15 24
80 4
70 76
89 89
28 79
19 30
31 4
63 73
40 89
87 21
25 46
53 28
72 41
45 24
3 27
34 51
66 83
67 48
13 77
38 21
3 63
49 30
47 69
26 46
67 84
59 80
63 50
36 96
77 97
69 93
12 4
25 23
52 40
14 13
12 89
45 37
49 7
89 43
