# family=hard seed=1
80 2167
36 71
29 32
8 9
0 5
6 48
11 14
29 68
21 64
41 42
73 74
44 47
2 50
3 15
22 28
74 75
66 71
13 65
32 78
55 61
47 57
18 30
59 68
5 60
17 71
9 67
29 45
48 58
21 41
40 54
6 61
10 31
2 27
62 78
54 74
25 47
32 55
51 68
3 28
43 64
35 60
1 67
13 78
36 61
9 44
28 57
47 70
6 38
21 54
39 71
10 44
2 40
3 5
13 55
32 68
16 60
36 38
17 61
58 62
9 57
50 58
29 35
21 31
40 44
6 51
39 48
30 79
10 21
2 17
54 64
73 77
12 67
13 32
4 63
24 41
3 18
43 54
35 50
13 68
5 27
65 78
17 38
57 74
36 51
9 34
28 47
5 63
6 28
58 75
50 71
42 67
8 74
0 70
20 48
11 79
39 61
2 30
1 34
4 76
24 54
16 50
9 11
1 70
5 40
46 78
38 74
9 47
42 44
8 51
10 11
20 61
12 57
32 35
23 66
24 31
64 67
43 44
16 27
35 40
1 47
5 17
46 55
38 51
17 28
76 77
9 24
68 73
15 67
7 63
26 76
27 41
6 18
30 46
50 61
61 70
8 64
27 77
0 60
60 74
11 69
12 34
31 47
23 43
1 24
34 58
45 67
24 44
16 40
56 76
3 70
14 79
26 53
5 30
46 68
38 64
57 77
49 73
7 76
27 54
0 37
0 73
41 74
20 51
33 70
4 43
44 79
16 17
34 71
5 7
38 41
9 14
49 50
15 57
7 53
26 66
27 31
30 36
71 74
63 70
8 54
0 50
20 28
11 59
12 24
39 41
52 60
23 33
1 14
53 61
45 57
37 53
56 66
3 60
22 73
26 43
46 58
18 39
38 54
49 63
7 66
8 31
27 44
18 75
19 40
11 36
41 64
60 77
25 56
4 33
44 69
10 76
2 72
14 46
45 70
37 66
3 73
15 47
7 43
47 79
26 56
11 13
29 67
0 40
40 76
11 49
4 10
10 53
41 77
1 4
33 73
34 38
25 69
45 47
15 24
7 20
26 33
18 29
59 67
28 79
7 56
8 21
48 57
40 53
6 60
11 26
71 77
41 54
60 67
44 59
10 66
2 62
22 40
14 36
34 51
37 56
3 63
36 60
15 37
7 33
47 69
26 46
5 72
9 79
29 57
48 70
21 53
10 43
2 39
33 63
25 59
32 67
2 75
3 40
43 76
22 53
35 72
1 79
7 10
17 60
9 56
28 69
29 34
8 11
0 7
40 43
29 70
62 67
33 40
44 49
10 56
51 57
2 52
22 30
14 26
74 77
66 73
13 67
24 76
16 72
36 50
28 46
7 23
47 59
5 62
6 27
17 73
58 74
9 69
61 79
40 56
6 63
10 33
2 29
12 79
4 75
32 57
24 53
3 30
43 66
35 62
1 69
36 63
28 59
47 72
6 40
42 79
25 26
39 73
32 34
3 7
32 70
43 79
35 75
36 40
9 23
28 36
47 49
5 52
58 64
9 59
50 60
69 73
27 76
19 72
31 46
10 23
62 70
54 66
20 73
12 69
13 34
32 47
23 78
24 43
51 60
43 56
35 52
1 59
5 29
46 67
17 40
57 76
9 36
28 49
15 79
6 30
58 77
50 73
42 69
0 72
20 50
39 63
12 46
4 42
1 36
4 78
45 79
16 52
5 42
6 7
38 76
21 23
8 53
27 66
20 27
11 58
39 40
10 13
2 9
75 79
54 56
20 63
12 59
13 24
23 68
64 69
16 29
35 42
1 49
5 19
38 53
76 79
9 26
68 75
15 69
7 65
27 43
6 20
18 74
19 39
30 48
50 63
42 59
8 66
0 62
19 75
20 40
60 76
39 53
4 32
23 45
1 26
34 60
13 37
53 73
45 69
37 65
56 78
15 46
26 55
5 32
18 51
38 66
49 75
7 78
8 43
19 52
11 48
12 13
30 61
41 76
1 3
33 72
12 49
13 14
25 68
4 45
45 46
16 19
14 58
37 78
9 16
26 68
27 33
18 64
30 38
71 76
63 72
8 56
0 52
41 53
20 30
11 61
52 62
31 39
4 22
10 65
34 50
53 63
45 59
37 55
56 68
14 71
15 36
7 32
26 45
18 41
38 56
7 68
8 33
48 69
40 65
19 42
6 72
11 38
30 51
60 79
33 62
52 75
25 58
4 35
10 78
2 74
22 52
34 63
3 75
15 49
8 10
18 54
11 15
29 69
40 78
41 43
12 16
4 12
10 55
1 6
33 75
34 40
32 79
56 58
3 52
14 61
15 26
7 22
67 73
59 69
70 78
9 68
29 46
8 23
48 59
0 19
6 62
11 28
41 56
25 48
44 61
10 68
51 69
3 29
22 42
14 38
13 79
15 39
28 58
55 75
47 71
18 44
29 59
48 72
21 55
40 68
6 75
10 45
2 41
3 6
14 15
25 61
24 65
3 42
43 78
35 74
7 12
17 62
36 75
0 9
40 45
6 52
10 22
21 68
62 69
54 65
33 42
20 72
25 38
44 51
10 58
23 77
51 59
2 54
3 19
43 55
22 32
14 28
74 79
13 69
16 74
17 39
6 29
17 75
50 72
21 45
40 58
39 62
10 35
2 31
54 78
13 46
4 77
51 72
43 68
16 51
35 64
1 71
5 41
46 79
17 52
9 48
28 61
5 77
6 42
10 12
2 8
54 55
20 62
25 28
39 75
12 58
31 71
32 36
23 67
24 32
3 9
43 45
35 41
14 18
1 48
13 59
65 69
16 64
17 29
35 77
36 42
9 25
76 78
28 38
68 74
47 51
58 66
9 61
50 62
77 79
69 75
42 58
8 65
27 78
11 70
39 52
2 21
54 68
12 71
13 36
24 45
43 58
1 61
5 31
46 69
17 42
57 78
9 38
49 74
7 77
30 60
50 75
8 78
0 74
20 52
39 65
4 44
16 18
34 72
13 49
5 8
37 77
16 54
9 15
6 9
38 78
50 52
42 48
8 55
27 68
19 64
20 29
11 60
