# family=random seed=1
40 149
0 1
0 9
0 10
0 14
0 20
0 21
0 27
0 36
1 2
1 5
1 19
1 23
1 34
1 35
2 3
2 17
2 26
2 29
2 38
3 4
3 13
3 14
3 15
3 18
3 21
3 22
3 24
3 30
3 33
3 34
4 5
4 6
4 7
4 9
4 23
4 34
4 36
5 6
5 16
5 17
5 24
6 8
6 9
6 22
6 24
6 25
6 26
6 36
7 13
7 15
7 16
7 18
7 22
7 23
7 26
7 34
7 36
7 37
8 12
8 16
8 27
9 16
9 18
9 20
9 21
9 27
9 30
9 32
9 37
10 13
10 15
10 23
10 25
10 29
10 39
11 15
11 17
11 18
11 25
12 15
12 16
12 19
12 33
12 38
13 17
13 19
13 26
13 37
13 39
14 17
14 20
14 24
14 25
14 27
15 24
15 26
15 32
15 39
16 27
17 18
17 22
18 29
18 33
18 39
19 30
19 36
20 25
20 33
21 22
21 24
21 32
21 33
22 24
22 27
22 28
22 29
22 33
23 24
23 26
23 30
24 26
24 36
24 38
24 39
25 27
25 29
25 33
25 34
25 36
25 38
25 39
26 27
26 38
27 33
27 36
28 35
28 39
29 30
29 35
29 38
30 33
30 35
30 37
30 38
31 34
33 34
35 36
35 39
36 39
