# family=structured seed=2
# opt_upper_bound=8
80 1398
29 32
8 9
48 45
19 18
33 38
25 34
79 10
24 74
16 70
49 18
18 30
5 60
79 46
30 4
17 71
64 2
54 74
65 3
3 28
55 38
29 22
42 77
73 64
74 29
25 24
39 71
10 44
51 45
43 41
14 14
66 61
47 47
17 61
63 28
61 67
27 74
44 14
10 21
2 17
74 42
32 45
70 8
35 50
36 15
77 52
40 21
58 75
42 67
62 45
0 70
33 18
74 19
66 15
11 79
32 22
35 27
55 5
13 45
16 50
35 63
36 28
55 41
48 2
5 40
6 5
50 48
29 25
21 21
10 11
54 54
74 32
51 48
43 44
5 17
38 51
17 28
76 77
77 42
28 37
68 73
40 11
74 9
4 30
43 21
35 17
1 24
37 63
70 11
49 73
50 38
7 76
27 54
19 50
51 2
0 73
66 18
72 61
38 41
76 67
61 24
26 66
18 62
50 51
19 63
11 59
31 37
1 14
53 61
45 57
37 53
65 35
22 73
49 63
42 24
15 70
8 31
73 11
19 40
30 49
75 57
33 60
12 37
44 69
24 11
65 12
56 43
76 21
46 35
57 44
3 73
47 79
8 8
0 4
19 17
71 64
40 76
41 41
44 46
23 23
74 74
45 47
46 12
56 56
49 17
79 45
50 18
6 60
33 50
53 28
44 59
56 33
26 10
3 63
69 8
27 11
30 16
9 79
60 44
44 36
74 64
55 50
67 61
18 19
78 70
70 66
17 60
63 27
8 11
48 47
0 7
44 13
63 63
10 20
64 27
3 17
22 30
66 73
67 38
59 34
24 76
28 46
7 23
48 24
40 20
71 44
75 14
44 26
2 29
74 54
63 17
36 63
48 37
21 20
5 75
52 7
44 3
10 10
74 31
53 8
51 47
56 13
43 43
55 17
17 27
36 40
9 23
76 76
28 36
40 10
9 59
77 77
75 4
31 46
43 56
36 17
63 7
28 49
29 14
15 79
21 10
62 47
0 72
25 16
12 46
43 33
14 6
13 47
17 17
68 62
77 67
50 50
39 40
44 6
31 36
23 32
54 56
78 4
43 46
28 3
38 53
57 66
49 62
29 4
15 69
26 78
30 48
8 66
20 40
66 7
12 36
31 49
4 32
23 45
16 6
35 19
13 37
37 65
3 72
9 3
77 21
18 51
58 44
20 17
39 30
23 22
12 49
25 68
32 27
64 59
14 58
5 9
65 60
38 43
49 52
31 3
42 49
54 23
52 62
4 22
32 4
44 58
64 36
72 40
43 13
53 63
45 59
65 37
14 71
18 41
59 79
38 56
71 53
12 3
30 51
33 62
44 71
56 45
34 63
46 37
37 68
38 33
78 69
36 72
7 45
27 23
19 19
41 43
52 52
53 17
22 29
34 40
53 53
49 19
15 26
55 62
70 78
42 16
72 7
41 56
25 48
2 64
70 55
55 75
7 35
60 10
79 60
41 33
60 46
6 75
52 42
25 25
14 15
74 66
25 61
37 35
43 78
15 16
47 48
67 63
59 59
63 29
77 76
40 45
44 51
37 12
3 19
22 32
59 36
16 74
6 29
41 23
72 10
22 9
14 5
74 56
78 26
51 72
47 38
71 23
17 52
63 19
36 65
28 61
21 22
44 5
