# family=hard seed=1
20 144
6 18
7 17
4 9
3 13
5 10
8 9
0 5
5 19
8 18
9 17
0 14
2 11
11 14
1 15
6 11
7 19
18 19
3 6
14 15
5 12
8 11
9 10
0 7
2 4
0 16
13 19
15 16
6 13
7 12
14 17
5 14
9 12
0 9
1 10
1 19
16 17
7 14
12 13
3 10
0 2
3 19
4 18
14 19
9 14
1 3
10 15
1 12
13 14
7 16
12 15
3 12
5 9
4 11
5 18
9 16
1 5
10 17
2 13
7 9
3 5
12 17
5 11
4 13
8 13
1 7
2 6
10 19
1 16
0 18
2 15
11 18
7 11
13 18
3 7
4 6
3 16
5 13
14 16
10 12
1 9
0 11
2 8
1 18
2 17
6 8
6 17
5 6
4 8
3 18
14 18
4 17
1 2
8 17
1 11
0 13
2 10
2 19
6 19
7 18
12 14
3 11
4 19
8 10
0 6
8 19
10 16
9 18
0 15
2 12
11 15
3 4
12 16
8 12
9 11
2 5
0 17
2 14
11 17
15 17
6 14
7 13
4 14
8 14
0 10
2 7
0 19
2 16
11 19
6 7
15 19
6 16
16 18
7 15
4 7
5 8
5 17
8 16
10 13
17 19
0 12
11 12
2 18
13 15
7 8
