# family=random seed=2
30 216
0 3
0 4
0 8
0 12
0 13
0 14
0 19
0 20
0 21
0 22
0 23
0 24
0 25
0 29
1 2
1 3
1 4
1 8
1 15
1 18
1 21
1 23
1 27
2 3
2 7
2 8
2 9
2 11
2 13
2 15
2 22
2 23
2 27
3 5
3 7
3 9
3 10
3 12
3 15
3 16
3 18
3 20
3 21
3 22
3 24
3 26
3 28
3 29
4 6
4 7
4 9
4 10
4 12
4 13
4 14
4 17
4 18
4 19
4 20
4 27
4 28
5 6
5 7
5 8
5 10
5 12
5 14
5 16
5 18
5 19
5 21
5 22
5 23
5 24
5 25
6 8
6 9
6 10
6 15
6 16
6 18
6 19
6 20
6 21
6 23
6 24
6 25
6 26
6 27
6 29
7 8
7 10
7 14
7 17
7 18
7 20
7 21
7 23
7 27
7 29
8 9
8 11
8 12
8 15
8 16
8 17
8 18
8 19
8 21
8 22
8 23
8 25
8 27
8 29
9 10
9 12
9 13
9 14
9 15
9 20
9 24
9 25
9 26
9 28
10 11
10 16
10 17
10 18
10 19
10 20
10 25
10 26
10 28
10 29
11 12
11 13
11 17
11 18
11 19
11 22
11 24
11 28
12 14
12 16
12 18
12 22
12 23
12 24
12 27
12 29
13 14
13 18
13 20
13 25
13 27
14 16
14 17
14 22
14 28
15 17
15 20
15 22
15 24
15 25
15 27
15 28
16 17
16 18
16 19
16 23
16 25
16 26
16 28
16 29
17 19
17 22
17 26
17 27
17 28
17 29
18 19
18 20
18 23
18 25
18 26
18 28
19 20
19 23
19 25
19 29
20 22
20 24
20 29
21 22
21 23
21 24
21 25
21 27
21 29
22 23
22 24
22 25
22 26
22 27
22 28
22 29
23 26
23 29
24 25
24 26
24 27
24 29
25 26
25 28
26 28
27 28
