# family=structured seed=1
# opt_upper_bound=3
30 345
27 4
27 13
8 9
19 9
8 18
0 23
10 27
25 25
4 2
22 10
3 6
3 15
14 15
22 28
14 24
15 7
7 3
7 12
15 25
18 21
27 8
0 9
10 22
25 20
2 27
22 14
22 23
3 19
14 19
26 2
26 11
7 7
7 16
18 16
21 18
11 4
25 6
10 17
2 13
25 15
10 26
2 22
3 5
14 5
3 14
14 14
22 27
14 23
15 6
29 8
6 15
6 24
29 26
2 17
25 19
2 26
22 4
22 13
3 9
14 9
5 27
9 25
6 10
21 8
6 19
29 21
25 5
25 14
13 27
24 27
17 24
28 24
9 20
6 5
6 14
29 16
21 21
10 2
10 11
25 9
24 13
13 13
13 22
24 22
16 18
1 29
16 27
17 10
28 10
9 6
9 15
5 26
17 28
28 28
6 9
21 16
20 20
10 6
12 25
2 2
2 11
13 17
24 17
13 26
24 26
5 3
17 5
5 12
9 19
20 15
12 20
23 29
16 8
5 7
9 5
9 14
5 25
27 22
12 6
20 19
12 15
4 11
1 23
16 21
17 4
28 4
9 9
27 17
27 26
0 27
11 27
20 5
20 14
12 10
12 19
4 24
13 2
24 2
13 11
24 11
1 18
16 16
15 20
15 29
5 6
7 25
8 8
0 4
0 13
11 13
8 26
19 26
0 22
11 22
20 9
12 5
12 14
4 10
23 23
4 28
15 15
26 24
7 20
18 29
19 3
19 12
8 21
19 21
0 17
11 17
0 26
11 26
12 9
23 18
22 22
3 27
26 10
7 6
15 19
7 15
26 28
27 2
27 11
19 7
8 16
19 25
22 17
22 26
15 5
15 14
18 10
7 19
18 28
15 9
7 5
26 18
7 14
18 23
29 29
19 6
0 2
11 2
10 24
2 20
3 3
14 3
3 12
14 12
15 4
26 4
26 13
7 9
18 18
21 29
10 10
10 28
2 24
22 2
22 11
3 7
14 7
3 25
14 25
17 18
17 27
28 27
25 3
2 10
25 12
2 19
2 28
17 13
28 13
5 20
17 22
28 22
6 3
6 12
21 10
29 23
25 7
14 6
16 25
28 8
5 15
17 17
28 17
5 24
17 26
28 26
6 7
29 18
6 25
21 23
10 4
10 13
24 15
24 24
13 24
16 29
17 3
5 19
21 9
6 20
2 4
1 8
13 10
24 10
13 28
24 28
5 5
9 3
5 14
9 12
6 6
4 27
13 14
1 21
17 2
28 2
5 9
17 11
28 11
9 7
27 24
19 20
8 29
20 3
20 12
12 8
23 8
4 4
4 13
12 26
4 22
13 9
24 9
1 16
13 18
1 25
16 23
26 27
5 4
27 10
19 15
27 28
0 11
11 11
8 24
20 7
12 3
20 16
12 12
20 25
23 21
4 17
4 26
13 4
24 4
26 22
11 6
19 19
0 24
11 24
12 7
23 16
4 12
26 17
7 13
26 26
19 5
19 14
27 27
0 10
11 10
8 23
0 28
11 28
20 6
22 24
3 20
14 20
15 3
15 12
18 8
